ID,Address,City,State,Zip,Country,Lat,Lng
ChIJYQaYnzv2wokRbx5DLQVDhOk,2853 Broadway,New York,NY,10025,USA,40.8047524,-73.9667501
ChIJrwwc5RNawokR5vYGXyWlcPE,2 Broadway,New York,NY,10004,USA,40.7045399,-74.0130866
ChIJqYnishL2wokRtgqN3Qa7cVg,201 W 125th St,New York,NY,10027,USA,40.8092856,-73.94858889999999
ChIJE4YK3PlYwokRybTACneYny4,120 W 56th St,New York,NY,10019,USA,40.7640254,-73.97896
ChIJsROIGhT2wokRQrxKQJ6YPiM,2195 Frederick Douglass Blvd,New York,NY,10026,USA,40.80594,-73.9545299
ChIJeUoqEeVYwokRNzkfVZv1dp0,135 E 57th St,New York,NY,10022,USA,40.7614094,-73.9692235
ChIJTWs0IA32wokRlu8IvOSkeQw,83 W 125th St,New York,NY,10027,USA,40.80785650000001,-73.9450662
ChIJf-GgvPlYwokRQ9sdaZnjAJA,1345 6th Ave,New York,NY,10105,USA,40.7629893,-73.97906710000001
ChIJFxhtuqtZwokR41nL9fDZySg,1372 Broadway,New York,NY,10018,USA,40.7522494,-73.9869878
ChIJybqp93v2wokRw3YKmhf9MW4,301 W 145th St,New York,NY,10039,USA,40.8231374,-73.94201369999999
ChIJy7wxz5dZwokR_mWDmM_ykEw,510 6th Ave,New York,NY,10011,USA,40.7368034,-73.9968884
ChIJ63s-twNZwokR3GC9Bd_T0pc,150 E 42nd St,New York,NY,10017,USA,40.7509156,-73.975455
ChIJP4Y1XhdawokRP6vtSR0RTmc,165 Broadway,New York,NY,10006,USA,40.7095523,-74.0109418
ChIJxcJ_0VVYwokR8BPZOJwGMhE,1585 Broadway,New York,NY,10036,USA,40.7600563,-73.985418
ChIJc6zAFr9ZwokRXEZ3YAg_rwU,76 9th Ave,New York,NY,10011,USA,40.7417806,-74.00450119999999
ChIJh93tBJ9ZwokREAy1CwZkR8U,145 3rd Ave,New York,NY,10003,USA,40.7337697,-73.986544
ChIJwcsgLFZYwokRYxXkF-8eplw,1656 Broadway,New York,NY,10019,USA,40.7620489,-73.9832918
ChIJffoiR5z2wokRYwJXFwq1Xtk,4001 Broadway,New York,NY,10032,USA,40.8413998,-73.9399403
ChIJFaiHthlawokR5rqgDSsOZ4w,Western Union Telegraph Building,195 Broadway,New York,NY,10007,USA,40.7108825,-74.0098505
ChIJe_SD_btZwokRN7Y7SX9dduo,177 8th Ave,New York,NY,10011,USA,40.743218,-74.0006049
EicyODYgMXN0IEF2ZW51ZSwgTmV3IFlvcmssIE5ZIDEwMDAzLCBVU0E,286 1st Avenue,New York,NY,10003,USA,40.7332771,-73.9808949
ChIJkQPjnKFZwokRELMtlSSpFtA,240 Park Ave S,New York,NY,10003,USA,40.7380436,-73.9883437
ChIJA_VIo8BYwokRG3Sdb0KmX6k,1445 1st Avenue,New York,NY,10021,USA,40.7700543,-73.9546853
ChIJIRaivIlYwokRUP-Ln_Y7rRE,2140 Broadway,New York,NY,10023,USA,40.7810244,-73.9808565
ChIJyUqXn6RZwokRBqgt8LRt5N8,684 6th Ave,New York,NY,10010,USA,40.7418388,-73.9932168
ChIJJTcExlhYwokRx-MRnLA_fJc,2 Columbus Ave,New York,NY,10019,USA,40.7695424,-73.9850755
ChIJxcU7maNZwokRRAkzwIpHhp0,4 W 21st St,New York,NY,10010,USA,40.74043959999999,-73.9913902
ChIJDwdhKrtZwokR5TZCHXxltZM,229 7th Ave,New York,NY,10011,USA,40.7442871,-73.9951068
ChIJa2H1MKZZwokRzvcYXORjH1I,261 5th Ave,New York,NY,10016,USA,40.7449512,-73.9865813
ChIJSxIpq6VZwokRY8BiWHP_ZVk,750 6th Ave,New York,NY,10010,USA,40.7437269,-73.99181159999999
ChIJmbDWm6BZwokRUA7-RaFCgKo,296 3rd Ave,New York,NY,10010,USA,40.7387743,-73.98346939999999
ChIJaRgUOqFZwokRcCBzPL5XNCQ,304 Park Ave S,New York,NY,10010,USA,40.7400682,-73.9868082
ChIJCaSudKRZwokRDqVVBV37eGg,14 W 23rd St,New York,NY,10010,USA,40.7416074,-73.9903559
ChIJc4ld-aRZwokREu8dZYsqE5o,776 6th Ave,New York,NY,10001,USA,40.7450001,-73.9909175
ChIJXbSbi69ZwokRcraZ7H5ydOo,315 7th Ave,New York,NY,10001,USA,40.746902,-73.99307
ChIJ--F8ra9ZwokRfpFirkzY39k,370 7th Ave,New York,NY,10001,USA,40.7490266,-73.9924742
ChIJO7vALq9ZwokRNNgpLNLZ88E,875 6th Ave,New York,NY,10001,USA,40.748214,-73.9893364
ChIJOelcUg9ZwokRSfjxy5HDM3I,585 2nd Ave,New York,NY,10016,USA,40.7438291,-73.9769416
ChIJEdrxaZxZwokRtrd2Z2VFxRE,145 2nd Ave,New York,NY,10003,USA,40.7294075,-73.98743859999999
ChIJ1aOB7adZwokRyDBiDWjDzjc,424 Park Ave S,New York,NY,10016,USA,40.744251,-73.98375399999999
ChIJh81K4QFZwokRboVGi4ldGUM,330 Madison Ave,New York,NY,10017,USA,40.753328,-73.9794019
ChIJm2cX5rNZwokRh0vD22symj8,450 West 33rd Street,New York,NY,10001,USA,40.7530688,-73.9994561
ChIJid767gFZwokR9prR2R9tsqs,335 Madison Ave,New York,NY,10017,USA,40.7535975,-73.9780853
ChIJBS5-SOJawokRIBXhPuAGyGc,462 7th Ave,New York,NY,10018,USA,40.7519617,-73.9902966
ChIJKWX5xq1ZwokRf3JuBnKiE-c,494 8th Ave,New York,NY,10001,USA,40.752599,-73.9928043
ChIJ8ec_UqhZwokR9K--xsy-fow,334 5th Ave,New York,NY,10001,USA,40.7477908,-73.9853517
ChIJS2wNXgdZwokRxaZg9zD4mvc,200 Madison Ave,New York,NY,10016,USA,40.7489466,-73.9826769
ChIJRcFmeSJawokRPp6jsM-hD0U,38 Park Row,New York,NY,10038,USA,40.7115866,-74.0066803
ChIJh2-q4ANZwokRnG3ox3ggnQ0,360 Lexington Ave,New York,NY,10017,USA,40.7503897,-73.9770422
ChIJEwfaIgFZwokRosYDu_W_oGw,90 Park Ave,New York,NY,10016,USA,40.7507441,-73.97937619999999
ChIJaVtqxKxZwokRnVuCpcGRZFQ,600 8th Ave,New York,NY,10018,USA,40.75536719999999,-73.99089699999999
ChIJzU_coQNZwokROUEptp8vldY,639 3rd Ave,New York,NY,10017,USA,40.7501862,-73.9745971
ChIJHYshKatZwokR7EBzDFM8gDQ,1460 Broadway,New York,NY,10036,USA,40.7551055,-73.9862093
ChIJ8TASs6pZwokRGUBfPtVmmXs,1100 6th Ave,New York,NY,10036,USA,40.7550567,-73.9836866
